,Team
30. Februar,2
A North American Team,4
Acipactli,3
Acturus,2
Afghanistan,126
Akatonbo,3
Alain IV,3
Albania,70
Alcaid,3
Alcyon-6,1
Alcyon-7,2
Aldebaran,2
Aldebaran II,2
Aletta,3
Algeria,551
Ali-Baba II,7
Ali-Baba IV,2
Ali-Baba IX,2
Ali-Baba VI,2
Allegro,3
Almaz,2
Aloha II,5
Amateur Athletic Association,5
American Samoa,37
Amolgavar,3
Amstel Amsterdam,4
Amulet-3,4
Amulet-7,2
Ancora,4
Andorinha,2
Andorra,169
Andromeda,3
Angelita,18
Angerburg,1
Angola,267
Anitra,6
Antares,2
Antigua and Barbuda,133
Antwerpia V,10
Apache,5
Aphrodite,3
Arcturus,2
Ardilla,3
Aretusa,3
Argentina,3199
Argentina-1,17
Argentina-2,17
Argeste,3
Argo II,3
Argonaut Rowing Club,6
Argus,4
Ariel,2
Ariette-10,2
Ariette-8,1
Armenia,221
Aruba,42
Aschenbrodel,12
Astrid III,3
Atalanta Boat Club-1,2
Atalanta Boat Club-2,2
Athens-2,11
Atlanta,9
Augsburg,1
Ausonia,3
Australasia,77
Australia,7513
Australia-1,41
Australia-2,40
Australia-3,2
Australia/Great Britain,2
Austria,4866
Austria-1,128
Austria-2,126
Azerbaijan,283
"BLO Polo Club, Rugby",4
Babe,5
Baby-1,2
Baby-9,1
Baccara,3
"Bagatelle Polo Club, Paris",4
Bahamas,348
Bahrain,126
Bajazzo,3
Balaton,2
Ballerina IV,3
Bamba,6
Bangladesh,55
Barbados,219
Barco Deloro,4
Barion/Bari-2,3
Barrenjoey,3
Beatrijs III-1,3
Beaver,4
Belarus,1783
Belarus-1,2
Belarus-2,2
Belgium,3687
Belgium-1,37
Belgium-2,27
Belgium-3,4
Belgium-4,4
Belize,76
Bella,2
Bellatrix IX,3
Bellatrix XIII,2
Bem II,4
Benin,71
Bera,5
Berliner Ruderclub,2
Berliner Ruderclub Sport-Borussia-1,9
Berliner Ruderverein von 1876-2,9
Bermuda,198
Bermudes,3
Bermudian,2
Bhutan,36
Bim,3
Bingo,3
Bissbi,4
